Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.05%,YETI,YETI HOLDINGS INC,--,"$17,151.89",413
0.05%,PAG,PENSKE AUTOMOTIVE GROUP INC,--,"$16,859.57",97
0.05%,GPK,GRAPHIC PACKAGING HOLDING CO,--,"$16,657.21","1,567"
0.05%,WLK,WESTLAKE CORP,--,"$16,611.45",177
0.05%,KBH,KB HOME,--,"$16,539.68",334
0.05%,VC,VISTEON CORP,--,"$16,466.40",144
0.05%,NSA,NATIONAL STORAGE AFFILIATES,--,"$16,332.58",374
0.05%,OLN,OLIN CORP,--,"$16,238.20",605
0.05%,EXPO,EXPONENT INC,--,"$16,153.46",263
0.05%,HOG,HARLEY-DAVIDSON INC,--,"$15,938.34",627
0.05%,HGV,HILTON GRAND VACATIONS INC,--,"$15,379.72",316
0.05%,FOUR,SHIFT4 PAYMENTS INC-CLASS A,--,"$15,286.22",359
0.05%,WHR,WHIRLPOOL CORP,--,"$15,106.56",336
0.04%,KD,KYNDRYL HOLDINGS INC,--,"$14,883.64","1,214"
0.04%,SMG,SCOTTS MIRACLE-GRO CO,--,"$14,537.04",238
0.04%,EEFT,EURONET WORLDWIDE INC,--,"$14,247.81",207
0.04%,IPGP,IPG PHOTONICS CORP,--,"$14,001.66",134
0.04%,PSN,PARSONS CORP,--,"$13,770.40",280
0.04%,HAE,HAEMONETICS CORP/MASS,--,"$13,614.64",247
0.04%,ASH,ASHLAND INC,--,"$13,367.43",243
0.04%,CAR,AVIS BUDGET GROUP INC,--,"$12,971.75",89
