Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.03%,ZLAB,ZAI LAB LTD-ADR,--,"$25,947.00","1,395"
0.03%,ZVRA,ZEVRA THERAPEUTICS INC,--,"$25,487.70","2,290"
0.03%,PSNL,PERSONALIS INC,--,"$25,468.82","4,259"
0.03%,CRMD,CORMEDIX INC,--,"$25,391.52","3,206"
0.03%,CADL,CANDEL THERAPEUTICS INC,--,"$24,849.60","2,976"
0.03%,ACRS,ACLARIS THERAPEUTICS INC,--,"$24,191.51","4,907"
0.03%,CSTL,CASTLE BIOSCIENCES INC,--,"$23,994.30","1,210"
0.03%,PRME,PRIME MEDICINE INC,--,"$23,583.87","7,347"
0.03%,PRTA,PROTHENA CORP PLC,--,"$23,487.97","2,189"
0.03%,SLDB,SOLID BIOSCIENCES INC,--,"$23,074.98","3,174"
0.03%,TECX,TECTONIC THERAPEUTIC INC,--,"$22,185.00",765
